"P_ID","Record Type","Permit Type","Primary","Record Status","Record Date Opened","Record Date Status","Date Updated","Date Assigned","Date Status","Date Due","Task","Status","Task Active","Planner F","Planner L","Description","Notes","Address"
"Y18-004","Planning Project","Use Permit Administrative","No","Close Out","1/23/2018 12:00:00 AM","5/7/2018 12:00:00 AM","2/15/2018 4:27:13 PM","2/15/2018 12:00:00 AM","2/15/2018 12:00:00 AM","2/15/2018 12:00:00 AM","Planning Review","Review Complete","N","Haley","Croffoot","Heritage Eats at Broadway Plaza","","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Design Review Commercial","Yes","Close Out","1/23/2018 12:00:00 AM","5/7/2018 12:00:00 AM","2/15/2018 4:27:13 PM","2/15/2018 12:00:00 AM","2/15/2018 12:00:00 AM","2/15/2018 12:00:00 AM","Planning Review","Review Complete","N","Haley","Croffoot","Heritage Eats at Broadway Plaza","","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Use Permit Administrative","No","Close Out","1/23/2018 12:00:00 AM","5/7/2018 12:00:00 AM","2/15/2018 4:27:30 PM","","2/15/2018 12:00:00 AM","2/15/2018 4:27:30 PM","CEQA Review","Project Exempt","Y","Haley","Croffoot","Heritage Eats at Broadway Plaza","","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Design Review Commercial","Yes","Close Out","1/23/2018 12:00:00 AM","5/7/2018 12:00:00 AM","2/15/2018 4:27:30 PM","","2/15/2018 12:00:00 AM","2/15/2018 4:27:30 PM","CEQA Review","Project Exempt","Y","Haley","Croffoot","Heritage Eats at Broadway Plaza","","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Use Permit Administrative","No","Close Out","1/23/2018 12:00:00 AM","5/7/2018 12:00:00 AM","4/25/2018 8:20:08 AM","2/15/2018 12:00:00 AM","4/23/2018 12:00:00 AM","2/15/2018 12:00:00 AM","Consolidated Comments","Deemed Complete","N","Haley","Croffoot","Heritage Eats at Broadway Plaza","","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Design Review Commercial","Yes","Close Out","1/23/2018 12:00:00 AM","5/7/2018 12:00:00 AM","4/25/2018 8:20:08 AM","2/15/2018 12:00:00 AM","4/23/2018 12:00:00 AM","2/15/2018 12:00:00 AM","Consolidated Comments","Deemed Complete","N","Haley","Croffoot","Heritage Eats at Broadway Plaza","","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Use Permit Administrative","No","Close Out","1/23/2018 12:00:00 AM","5/7/2018 12:00:00 AM","4/25/2018 8:20:28 AM","4/25/2018 12:00:00 AM","4/23/2018 12:00:00 AM","4/25/2018 12:00:00 AM","Staff Analysis","Deemed Complete","Y","Haley","Croffoot","Heritage Eats at Broadway Plaza","","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Design Review Commercial","Yes","Close Out","1/23/2018 12:00:00 AM","5/7/2018 12:00:00 AM","4/25/2018 8:20:28 AM","4/25/2018 12:00:00 AM","4/23/2018 12:00:00 AM","4/25/2018 12:00:00 AM","Staff Analysis","Deemed Complete","Y","Haley","Croffoot","Heritage Eats at Broadway Plaza","","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Design Review Commercial","Yes","Close Out","1/23/2018 12:00:00 AM","5/7/2018 12:00:00 AM","4/25/2018 8:20:37 AM","4/25/2018 12:00:00 AM","4/23/2018 12:00:00 AM","4/25/2018 12:00:00 AM","Staff Analysis","Staff Level Decision","N","Haley","Croffoot","Heritage Eats at Broadway Plaza","","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Use Permit Administrative","No","Close Out","1/23/2018 12:00:00 AM","5/7/2018 12:00:00 AM","4/25/2018 8:20:37 AM","4/25/2018 12:00:00 AM","4/23/2018 12:00:00 AM","4/25/2018 12:00:00 AM","Staff Analysis","Staff Level Decision","N","Haley","Croffoot","Heritage Eats at Broadway Plaza","","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Design Review Commercial","Yes","Close Out","1/23/2018 12:00:00 AM","5/7/2018 12:00:00 AM","5/7/2018 8:29:35 AM","4/25/2018 12:00:00 AM","5/7/2018 12:00:00 AM","4/25/2018 12:00:00 AM","Staff Level Decision","Approved","N","Haley","Croffoot","Heritage Eats at Broadway Plaza","","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Use Permit Administrative","No","Close Out","1/23/2018 12:00:00 AM","5/7/2018 12:00:00 AM","5/7/2018 8:29:35 AM","4/25/2018 12:00:00 AM","5/7/2018 12:00:00 AM","4/25/2018 12:00:00 AM","Staff Level Decision","Approved","N","Haley","Croffoot","Heritage Eats at Broadway Plaza","","24 BROADWAY LN, WALCR, CA "
"Y18-005","Planning Project","Use Permit Conditional","Yes","Close Out","1/24/2018 12:00:00 AM","4/26/2018 12:00:00 AM","1/24/2018 9:40:26 AM","1/24/2018 12:00:00 AM","1/24/2018 12:00:00 AM","1/24/2018 12:00:00 AM","Intake Review","Application Accepted","N","Ozzy","Arce","CUP for Thirteen Salon at 1768 N. Broadway","","1760 N BROADWAY, WALCR, CA "
"Y18-005","Planning Project","Use Permit Conditional","Yes","Close Out","1/24/2018 12:00:00 AM","4/26/2018 12:00:00 AM","2/6/2018 3:49:22 PM","2/6/2018 12:00:00 AM","2/6/2018 12:00:00 AM","2/7/2018 12:00:00 AM","Engineering Review","Review Complete","N","Cathleen","Terentieff","CUP for Thirteen Salon at 1768 N. Broadway","","1760 N BROADWAY, WALCR, CA "
"Y18-005","Planning Project","Use Permit Conditional","Yes","Close Out","1/24/2018 12:00:00 AM","4/26/2018 12:00:00 AM","7/11/2018 10:21:07 AM","1/24/2018 12:00:00 AM","2/22/2018 12:00:00 AM","2/7/2018 12:00:00 AM","Building Review","No Comments","N","Trishia","Caguiat","CUP for Thirteen Salon at 1768 N. Broadway","","1760 N BROADWAY, WALCR, CA "
"Y18-005","Planning Project","Use Permit Conditional","Yes","Close Out","1/24/2018 12:00:00 AM","4/26/2018 12:00:00 AM","7/11/2018 10:21:31 AM","1/24/2018 12:00:00 AM","2/22/2018 12:00:00 AM","2/7/2018 12:00:00 AM","Traffic Engineering Review","No Comments","N","Trishia","Caguiat","CUP for Thirteen Salon at 1768 N. Broadway","","1760 N BROADWAY, WALCR, CA "
"Y18-005","Planning Project","Use Permit Conditional","Yes","Close Out","1/24/2018 12:00:00 AM","4/26/2018 12:00:00 AM","7/11/2018 10:21:42 AM","","7/11/2018 12:00:00 AM","7/11/2018 10:21:42 AM","CEQA Review","Project Exempt","Y","Trishia","Caguiat","CUP for Thirteen Salon at 1768 N. Broadway","","1760 N BROADWAY, WALCR, CA "
"Y18-005","Planning Project","Use Permit Conditional","Yes","Close Out","1/24/2018 12:00:00 AM","4/26/2018 12:00:00 AM","7/11/2018 10:22:11 AM","1/30/2018 12:00:00 AM","2/22/2018 12:00:00 AM","1/24/2018 12:00:00 AM","Planning Review","Comments","N","Trishia","Caguiat","CUP for Thirteen Salon at 1768 N. Broadway","","1760 N BROADWAY, WALCR, CA "
"Y18-005","Planning Project","Use Permit Conditional","Yes","Close Out","1/24/2018 12:00:00 AM","4/26/2018 12:00:00 AM","7/11/2018 10:22:59 AM","7/11/2018 12:00:00 AM","3/8/2018 12:00:00 AM","7/11/2018 12:00:00 AM","Consolidated Comments","Deemed Complete","N","Trishia","Caguiat","CUP for Thirteen Salon at 1768 N. Broadway","","1760 N BROADWAY, WALCR, CA "
"Y18-005","Planning Project","Use Permit Conditional","Yes","Close Out","1/24/2018 12:00:00 AM","4/26/2018 12:00:00 AM","7/11/2018 10:23:24 AM","7/11/2018 12:00:00 AM","3/28/2018 12:00:00 AM","7/11/2018 12:00:00 AM","Staff Analysis","Set for Hearing","N","Trishia","Caguiat","CUP for Thirteen Salon at 1768 N. Broadway","","1760 N BROADWAY, WALCR, CA "
"Y18-005","Planning Project","Use Permit Conditional","Yes","Close Out","1/24/2018 12:00:00 AM","4/26/2018 12:00:00 AM","7/11/2018 10:24:46 AM","7/11/2018 12:00:00 AM","4/26/2018 12:00:00 AM","7/11/2018 12:00:00 AM","Planning Commission","Approved","N","Trishia","Caguiat","CUP for Thirteen Salon at 1768 N. Broadway","","1760 N BROADWAY, WALCR, CA "
"Y18-009","Planning Project","Design Review Other","Yes","Close Out","2/16/2018 12:00:00 AM","5/3/2018 12:00:00 AM","2/20/2018 7:59:02 AM","2/16/2018 12:00:00 AM","2/20/2018 12:00:00 AM","2/16/2018 12:00:00 AM","Intake Review","Application Accepted","N","Alan","Carreon","St Mary Church Chapel","Community Use","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Yes","Close Out","2/16/2018 12:00:00 AM","5/3/2018 12:00:00 AM","2/23/2018 4:19:08 PM","2/20/2018 12:00:00 AM","2/23/2018 12:00:00 AM","3/6/2018 12:00:00 AM","Building Review","Review Complete","N","Fangbin","Mo","St Mary Church Chapel","Community Use","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Yes","Close Out","2/16/2018 12:00:00 AM","5/3/2018 12:00:00 AM","5/3/2018 11:17:50 AM","2/20/2018 12:00:00 AM","5/3/2018 12:00:00 AM","3/6/2018 12:00:00 AM","Planning Review","No Comments","N","Simar","Gill","St Mary Church Chapel","Community Use","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Yes","Close Out","2/16/2018 12:00:00 AM","5/3/2018 12:00:00 AM","5/3/2018 11:26:20 AM","2/20/2018 12:00:00 AM","5/3/2018 12:00:00 AM","3/8/2018 12:00:00 AM","Fire Review","Review Complete","N","Simar","Gill","St Mary Church Chapel","Community Use","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Yes","Close Out","2/16/2018 12:00:00 AM","5/3/2018 12:00:00 AM","5/3/2018 11:26:38 AM","3/9/2018 12:00:00 AM","5/3/2018 12:00:00 AM","3/6/2018 12:00:00 AM","Engineering Review","No Comments","N","Simar","Gill","St Mary Church Chapel","Community Use","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Yes","Close Out","2/16/2018 12:00:00 AM","5/3/2018 12:00:00 AM","5/3/2018 11:26:54 AM","2/20/2018 12:00:00 AM","5/3/2018 12:00:00 AM","3/6/2018 12:00:00 AM","Traffic Engineering Review","No Comments","N","Simar","Gill","St Mary Church Chapel","Community Use","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Yes","Close Out","2/16/2018 12:00:00 AM","5/3/2018 12:00:00 AM","5/3/2018 11:27:07 AM","","5/3/2018 12:00:00 AM","5/3/2018 11:27:07 AM","CEQA Review","Project Exempt","Y","Simar","Gill","St Mary Church Chapel","Community Use","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Yes","Close Out","2/16/2018 12:00:00 AM","5/3/2018 12:00:00 AM","5/3/2018 11:27:30 AM","5/3/2018 12:00:00 AM","5/3/2018 12:00:00 AM","5/3/2018 12:00:00 AM","Consolidated Comments","Deemed Complete","N","Simar","Gill","St Mary Church Chapel","Community Use","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Yes","Close Out","2/16/2018 12:00:00 AM","5/3/2018 12:00:00 AM","5/3/2018 11:27:47 AM","5/3/2018 12:00:00 AM","5/3/2018 12:00:00 AM","5/3/2018 12:00:00 AM","Staff Analysis","Staff Level Decision","N","Simar","Gill","St Mary Church Chapel","Community Use","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Yes","Close Out","2/16/2018 12:00:00 AM","5/3/2018 12:00:00 AM","5/3/2018 11:28:03 AM","5/3/2018 12:00:00 AM","5/3/2018 12:00:00 AM","5/3/2018 12:00:00 AM","Staff Level Decision","Approved","N","Simar","Gill","St Mary Church Chapel","Community Use","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Yes","Close Out","2/16/2018 12:00:00 AM","5/3/2018 12:00:00 AM","2/7/2020 2:39:14 PM","2/20/2018 12:00:00 AM","3/5/2018 12:00:00 AM","3/6/2018 12:00:00 AM","Planning Review","Comments","N","Simar","Gill","St Mary Church Chapel","Community Use","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Yes","Close Out","2/16/2018 12:00:00 AM","5/3/2018 12:00:00 AM","2/7/2020 2:39:40 PM","2/7/2020 12:00:00 AM","3/5/2018 12:00:00 AM","2/7/2020 12:00:00 AM","Consolidated Comments","Deemed Incomplete","N","Simar","Gill","St Mary Church Chapel","Community Use","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Yes","Close Out","2/16/2018 12:00:00 AM","5/3/2018 12:00:00 AM","2/7/2020 2:40:39 PM","2/7/2020 12:00:00 AM","4/18/2018 12:00:00 AM","2/7/2020 12:00:00 AM","Resubmittal","Route for Review","N","Simar","Gill","St Mary Church Chapel","Community Use","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Yes","Close Out","2/16/2018 12:00:00 AM","5/3/2018 12:00:00 AM","2/7/2020 2:42:50 PM","2/7/2020 12:00:00 AM","5/1/2018 12:00:00 AM","2/7/2020 12:00:00 AM","Planning Review","No Comments","N","Simar","Gill","St Mary Church Chapel","Community Use","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Yes","Close Out","2/16/2018 12:00:00 AM","5/3/2018 12:00:00 AM","2/7/2020 2:43:11 PM","2/7/2020 12:00:00 AM","5/1/2018 12:00:00 AM","2/7/2020 12:00:00 AM","Consolidated Comments","Deemed Complete","N","Simar","Gill","St Mary Church Chapel","Community Use","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Yes","Close Out","2/27/2018 12:00:00 AM","5/8/2019 12:00:00 AM","3/1/2018 12:42:41 PM","2/27/2018 12:00:00 AM","3/1/2018 12:00:00 AM","2/27/2018 12:00:00 AM","Intake Review","Application Accepted","N","Greg","Kapovich","1910 Noma Apartments","","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Yes","Close Out","2/27/2018 12:00:00 AM","5/8/2019 12:00:00 AM","5/10/2018 11:04:23 AM","3/1/2018 12:00:00 AM","3/18/2018 12:00:00 AM","3/1/2018 12:00:00 AM","Arborist Review","Comments","Y","Greg","Kapovich","1910 Noma Apartments","","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Yes","Close Out","2/27/2018 12:00:00 AM","5/8/2019 12:00:00 AM","5/10/2018 11:04:38 AM","3/1/2018 12:00:00 AM","5/10/2018 12:00:00 AM","3/1/2018 12:00:00 AM","Arborist Review","Comments","Y","Greg","Kapovich","1910 Noma Apartments","","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Yes","Close Out","2/27/2018 12:00:00 AM","5/8/2019 12:00:00 AM","5/10/2018 11:14:52 AM","3/1/2018 12:00:00 AM","5/10/2018 12:00:00 AM","3/26/2018 12:00:00 AM","Planning Review","Comments","Y","Greg","Kapovich","1910 Noma Apartments","","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Yes","Close Out","2/27/2018 12:00:00 AM","5/8/2019 12:00:00 AM","5/10/2018 11:15:23 AM","3/1/2018 12:00:00 AM","5/10/2018 12:00:00 AM","3/1/2018 12:00:00 AM","Building Review","No Comments","N","Greg","Kapovich","1910 Noma Apartments","","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Yes","Close Out","2/27/2018 12:00:00 AM","5/8/2019 12:00:00 AM","5/10/2018 11:15:37 AM","3/1/2018 12:00:00 AM","5/10/2018 12:00:00 AM","3/1/2018 12:00:00 AM","Engineering Review","Comments","Y","Greg","Kapovich","1910 Noma Apartments","","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Yes","Close Out","2/27/2018 12:00:00 AM","5/8/2019 12:00:00 AM","5/10/2018 11:15:53 AM","3/1/2018 12:00:00 AM","5/10/2018 12:00:00 AM","3/1/2018 12:00:00 AM","Traffic Engineering Review","Comments","Y","Greg","Kapovich","1910 Noma Apartments","","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Yes","Close Out","2/27/2018 12:00:00 AM","5/8/2019 12:00:00 AM","5/10/2018 11:16:11 AM","","5/10/2018 12:00:00 AM","5/10/2018 11:16:11 AM","CEQA Review","Project Exempt","Y","Greg","Kapovich","1910 Noma Apartments","","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Yes","Close Out","2/27/2018 12:00:00 AM","5/8/2019 12:00:00 AM","5/10/2018 11:16:25 AM","5/10/2018 12:00:00 AM","5/10/2018 12:00:00 AM","5/10/2018 12:00:00 AM","Consolidated Comments","Deemed Incomplete","N","Greg","Kapovich","1910 Noma Apartments","","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Yes","Close Out","2/27/2018 12:00:00 AM","5/8/2019 12:00:00 AM","5/30/2018 7:31:35 AM","5/10/2018 12:00:00 AM","5/30/2018 12:00:00 AM","6/13/2018 12:00:00 AM","Resubmittal","Route for Review","N","Greg","Kapovich","1910 Noma Apartments","","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Yes","Close Out","2/27/2018 12:00:00 AM","5/8/2019 12:00:00 AM","7/25/2018 5:15:47 PM","5/30/2018 12:00:00 AM","7/25/2018 12:00:00 AM","5/30/2018 12:00:00 AM","Building Review","Review Complete","N","Prabhath","Silva","1910 Noma Apartments","","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Yes","Close Out","2/27/2018 12:00:00 AM","5/8/2019 12:00:00 AM","7/26/2018 10:43:17 AM","5/30/2018 12:00:00 AM","7/26/2018 12:00:00 AM","5/30/2018 12:00:00 AM","Arborist Review","Comments","N","John","Davis","1910 Noma Apartments","","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Yes","Close Out","2/27/2018 12:00:00 AM","5/8/2019 12:00:00 AM","8/20/2018 10:59:26 AM","5/30/2018 12:00:00 AM","8/20/2018 12:00:00 AM","5/30/2018 12:00:00 AM","Planning Review","No Comments","N","Greg","Kapovich","1910 Noma Apartments","","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Yes","Close Out","2/27/2018 12:00:00 AM","5/8/2019 12:00:00 AM","8/20/2018 10:59:33 AM","5/30/2018 12:00:00 AM","8/20/2018 12:00:00 AM","5/30/2018 12:00:00 AM","Engineering Review","No Comments","N","Greg","Kapovich","1910 Noma Apartments","","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Yes","Close Out","2/27/2018 12:00:00 AM","5/8/2019 12:00:00 AM","8/20/2018 10:59:40 AM","5/30/2018 12:00:00 AM","8/20/2018 12:00:00 AM","5/30/2018 12:00:00 AM","Traffic Engineering Review","No Comments","N","Greg","Kapovich","1910 Noma Apartments","","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Yes","Close Out","2/27/2018 12:00:00 AM","5/8/2019 12:00:00 AM","8/20/2018 10:59:58 AM","8/20/2018 12:00:00 AM","8/20/2018 12:00:00 AM","8/20/2018 12:00:00 AM","Consolidated Comments","Deemed Complete","N","Greg","Kapovich","1910 Noma Apartments","","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Yes","Close Out","2/27/2018 12:00:00 AM","5/8/2019 12:00:00 AM","8/20/2018 11:00:08 AM","8/20/2018 12:00:00 AM","8/20/2018 12:00:00 AM","8/20/2018 12:00:00 AM","Staff Analysis","Set for Hearing","N","Greg","Kapovich","1910 Noma Apartments","","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Yes","Close Out","2/27/2018 12:00:00 AM","5/8/2019 12:00:00 AM","8/20/2018 11:02:26 AM","8/20/2018 12:00:00 AM","8/15/2018 12:00:00 AM","8/20/2018 12:00:00 AM","Design Review Commission","Approved","N","Greg","Kapovich","1910 Noma Apartments","","1910 N MAIN ST, WALCR, CA 94596"
